NSC,2024-02-27 15:36:29.320544,57498264000,31.74,8.02,0.143
NTRS,2024-02-27 15:36:29.756007,16656230000,15.98,5.08,0.0956
NOC,2024-02-27 15:36:30.218753,69181604000,34.13,13.51,0.137
NLOK,2024-02-27 15:36:30.621840,,,,
NCLH,2024-02-27 15:36:31.024083,6777020000,None,-0.53,-0.5
NRG,2024-02-27 15:36:31.430024,11913566000,None,-7.7,-0.411
NUE,2024-02-27 15:36:31.867568,46706954000,10.56,17.99,0.236
NVDA,2024-02-27 15:36:32.313994,1977299894000,66.24,11.94,0.915
NVR,2024-02-27 15:36:32.722662,24300257000,16.41,463.43,0.404
NXPI,2024-02-27 15:36:33.149387,62522139000,22.78,10.7,0.338
ORLY,2024-02-27 15:36:33.538022,62500205000,27.47,38.51,0.586
OXY,2024-02-27 15:36:33.933498,53183308000,15.51,3.9,0.155
ODFL,2024-02-27 15:36:34.360207,48652845000,39.53,11.28,0.313
OMC,2024-02-27 15:36:34.855582,17542179000,12.82,6.91,0.335
OKE,2024-02-27 15:36:35.267780,42508747000,13.41,5.44,0.217
ORCL,2024-02-27 15:36:35.634418,305047667000,30.65,3.62,0.337
OGN,2024-02-27 15:36:36.043203,4512011000,4.424,3.99,0
OTIS,2024-02-27 15:36:36.453860,37983027000,27.63,3.39,0
PCAR,2024-02-27 15:36:36.862441,58805977000,12.81,8.76,0.317
PKG,2024-02-27 15:36:37.261124,15601799000,20.55,8.47,0.203
PH,2024-02-27 15:36:37.649577,68195230000,26.25,20.23,0.255
PAYX,2024-02-27 15:36:38.023346,44391244000,27.42,4.5,0.484
PAYC,2024-02-27 15:36:38.427497,10184712000,30.57,5.89,0.274
PYPL,2024-02-27 15:36:38.839188,63732093000,15.49,3.84,0.205
PENN,2024-02-27 15:36:39.242458,2589708000,None,-3.22,-0.145
PNR,2024-02-27 15:36:39.676620,12557193000,20.25,3.75,0.21
PBCT,2024-02-27 15:36:40.074584,,,,
PEP,2024-02-27 15:36:40.481152,233103327000,25.85,6.56,0.51
PKI,2024-02-27 15:36:40.885270,,,,
PFE,2024-02-27 15:36:41.311148,154524123000,73.96,0.37,0.0235
PM,2024-02-27 15:36:41.722060,140373426000,18.01,5.02,0
PSX,2024-02-27 15:36:42.160169,63450575000,9.58,15.48,0.22
PNW,2024-02-27 15:36:42.564699,7855079000,16.53,4.19,0.077
PXD,2024-02-27 15:36:42.965214,54658441000,11.58,20.21,0.214
PNC,2024-02-27 15:36:43.384136,57622491000,11.33,12.79,0.117
POOL,2024-02-27 15:36:43.760105,14945642000,28.97,13.34,0.411
PPG,2024-02-27 15:36:44.187614,33486197000,26.61,5.35,0.178
PPL,2024-02-27 15:36:44.604540,19332573000,26.21,1,0.0531
PFG,2024-02-27 15:36:45.018052,18926047000,31.47,2.55,0.0624
PG,2024-02-27 15:36:45.430642,377000854000,26.84,5.97,0.318
PGR,2024-02-27 15:36:45.820730,113379803000,29.42,6.58,0.216
PLD,2024-02-27 15:36:46.211432,122602226000,40.29,3.29,0.0562
PRU,2024-02-27 15:36:46.628536,38454075000,15.88,6.74,0.0813
PTC,2024-02-27 15:36:47.047489,21719011000,91.75,1.98,0.091
PEG,2024-02-27 15:36:47.466888,29719446000,10.63,5.61,0.197
PSA,2024-02-27 15:36:47.868331,50171970000,25.77,11.05,0.213
PHM,2024-02-27 15:36:48.283837,22526294000,9.06,11.72,0.27
PVH,2024-02-27 15:36:48.671708,8107718000,16.18,8.4,0.107
